japanese,math,english,grade
88,51,92,B
43,29,13,E
22,59,77,C
98,10,91,C
42,96,65,C
94,42,34,C
72,29,62,C
21,27,63,D
97,5,44,D
96,86,66,B
99,12,9,D
41,15,28,E
65,52,91,C
25,83,79,C
6,5,34,E
75,85,11,C
18,81,25,D
31,87,60,C
19,76,81,C
85,10,83,C
63,72,76,B
38,21,63,D
88,53,42,C
1,16,41,E
16,17,60,D
89,49,16,C
15,82,99,C
15,46,79,D
22,19,88,D
74,63,98,B
79,7,9,D
95,4,56,C
1,4,62,E
6,85,29,D
84,14,71,C
33,39,64,D
36,45,61,D
16,77,5,D
42,9,32,E
21,44,72,D
90,72,77,B
94,45,17,C
55,98,12,C
94,30,83,C
21,64,28,D
95,17,91,C
35,38,12,E
52,3,34,E
85,90,81,B
55,48,17,D
5,28,17,E
30,64,1,D
58,74,2,D
90,93,47,B
26,21,24,E
16,77,7,D
16,44,18,E
72,65,5,D
30,89,99,B
46,80,66,C
10,10,18,E
33,49,84,C
40,96,100,B
0,17,34,E
71,55,12,D
79,37,45,C
84,70,21,C
42,6,55,D
18,86,44,D
2,65,93,C
0,0,47,E
66,94,78,B
32,86,79,C
60,40,63,C
28,97,64,C
23,24,75,D
67,83,38,C
31,8,70,D
68,56,0,D
21,23,26,E
98,74,42,B
78,72,27,C
41,39,19,D
42,24,19,E
17,66,19,D
75,36,4,D
2,5,63,E
24,51,95,C
82,18,33,D
1,47,48,D
85,33,14,D
48,1,19,E
6,95,19,D
96,13,37,D
67,65,81,B
6,55,15,E
43,19,97,C
63,47,47,C
63,57,78,C
48,95,11,C
38,18,48,D
5,1,96,D
36,62,68,C
92,71,53,B
31,48,78,C
100,74,65,B
54,13,16,E
57,73,23,C
52,71,86,C
62,0,83,D
37,61,39,D
79,0,50,D
64,84,34,C
68,4,23,D
32,70,54,C
93,39,26,C
24,43,58,D
7,63,1,E
25,100,26,C
60,63,69,C
33,11,4,E
45,28,51,D
71,75,18,C
24,67,34,D
74,41,79,C
13,19,56,E
89,24,50,C
7,53,32,D
70,3,23,D
23,60,91,C
61,41,1,D
15,9,99,D
5,49,93,D
47,39,6,D
30,70,86,C
14,96,62,C
48,29,3,E
17,94,88,C
56,96,47,C
50,41,75,C
56,67,94,B
77,97,15,C
25,55,92,C
33,5,81,D
79,88,55,B
72,32,27,D
68,1,11,E
53,74,33,C
99,35,58,C
58,52,21,D
28,51,86,C
73,48,39,C
55,0,59,D
24,79,76,C
93,73,22,C
56,24,94,C
2,97,30,D
45,11,83,D
5,39,52,D
56,78,81,B
40,67,55,C
17,12,75,D
75,59,89,B
17,42,78,D
13,51,16,E
87,80,47,B
14,38,45,D
53,36,15,D
93,20,61,C
46,35,68,D
62,55,71,C
45,41,17,D
28,53,54,D
77,63,19,C
39,95,85,B
78,61,95,B
90,23,64,C
39,13,29,E
21,44,34,D
95,62,27,C
73,30,36,D
78,79,48,C
34,99,12,D
69,34,17,D
62,19,31,D
41,19,19,E
99,99,26,B
3,98,29,D
53,78,73,C
38,39,87,C
93,58,10,C
7,25,69,D
55,96,57,C
43,81,75,C
24,16,94,D
63,98,71,B
73,30,16,D
53,97,3,C
71,17,99,C
16,96,95,C
52,24,1,E
78,35,60,C
58,33,36,D
0,50,1,E
41,94,26,C
36,73,55,C
51,100,59,B
37,18,41,D
49,60,28,D
11,21,68,D
22,2,70,D
61,22,39,D
73,2,70,D
100,68,24,C
17,92,33,D
6,52,8,E
31,78,65,C
75,88,3,C
25,95,81,C
63,26,97,C
100,10,3,D
84,43,4,D
65,15,97,C
33,83,98,B
14,22,41,E
3,30,43,E
71,99,75,B
28,51,63,D
4,1,20,E
49,11,78,D
60,72,44,C
12,31,74,D
29,44,95,C
75,92,73,B
55,51,78,C
37,10,93,D
69,78,25,C
51,7,21,E
32,68,72,C
58,30,75,C
64,41,90,C
8,45,37,D
43,43,64,C
3,7,27,E
98,47,14,C
16,88,95,C
68,49,52,C
20,34,47,D
78,3,39,D
7,61,27,D
81,59,39,C
0,97,68,C
31,89,78,C
34,48,27,D
26,64,73,C
53,48,55,C
7,48,15,E
1,94,0,D
33,61,75,C
83,56,97,B
60,81,56,C
79,84,73,B
80,13,29,D
43,5,14,E
100,61,72,B
52,62,42,C
44,83,98,B
52,61,54,C
59,99,94,B
38,20,88,D
30,11,31,E
31,90,64,C
81,1,72,C
94,9,45,D
61,89,100,B
5,52,13,E
48,54,19,D
41,40,31,D
14,51,41,D
82,54,60,C
18,37,46,D
24,92,15,D
39,2,6,E
87,37,90,B
72,95,38,C
54,19,15,E
65,100,17,C
72,87,94,B
22,65,100,C
31,81,34,D
46,79,12,D
96,82,52,B
5,80,32,D
10,95,26,D
18,52,24,D
95,73,52,B
94,36,66,C
16,70,98,C
45,52,1,D
75,39,99,B
33,97,16,D
22,56,47,D
13,70,71,C
53,42,44,D
0,61,19,E
93,13,85,C
70,24,33,D
4,12,78,D
41,60,61,C
96,18,35,D
23,64,41,D
68,40,68,C
34,39,65,D
85,46,86,B
0,60,77,D
31,22,19,E
9,84,21,D
96,63,8,C
51,2,42,D
56,0,76,D
24,90,5,D
89,31,78,C
47,36,39,D
81,40,24,D
75,22,58,C
90,78,0,C
33,98,2,D
62,33,52,D
97,40,2,D
43,4,60,D
100,27,89,B
12,44,45,D
79,39,40,C
99,3,26,D
57,78,40,C
26,95,5,D
86,33,81,C
12,8,60,E
100,42,42,C
15,49,53,D
14,58,17,E
78,100,63,B
91,33,86,B
87,72,50,C
69,91,17,C
58,40,76,C
70,70,1,D
95,90,93,A
83,52,8,D
43,7,99,D
84,99,50,B
61,81,74,B
78,84,51,B
56,94,81,B
5,42,46,D
71,10,5,E
20,90,100,B
96,99,94,A
72,26,37,D
68,38,85,C
42,9,36,E
1,15,48,E
38,79,62,C
37,69,23,D
78,88,34,C
82,2,74,C
60,57,36,C
9,24,67,D
58,16,55,D
68,1,30,D
4,13,67,E
59,52,87,C
68,0,80,D
64,85,41,C
67,96,88,B
55,76,11,D
47,85,78,B
37,91,9,D
0,82,28,D
42,7,86,D
37,23,90,C
73,81,1,C
44,48,68,C
87,32,85,C
85,21,20,D
94,72,11,C
64,51,70,C
46,31,43,D
64,64,55,C
99,8,93,C
18,52,36,D
68,44,87,C
76,36,55,C
5,74,89,C
39,95,79,B
38,16,11,E
77,23,62,C
43,92,8,D
37,14,58,D
92,8,70,C
3,14,26,E
7,60,0,E
33,45,17,D
68,76,73,B
29,37,20,E
93,89,78,B
86,52,80,B
62,47,23,D
2,89,47,D
27,82,52,C
73,45,67,C
50,89,84,B
71,0,64,D
84,8,95,C
46,83,51,C
50,80,66,C
80,13,45,D
31,40,1,E
66,59,57,C
82,43,6,D
